attested_date,attested_date_sys_id,can_switch,can_switch_sys_id,operational_status,operational_status_sys_id,cpu_manufacturer,cpu_manufacturer_sys_id,sys_updated_on,sys_updated_on_sys_id,allotted_electric_power_unit,allotted_electric_power_unit_sys_id,discovery_source,discovery_source_sys_id,first_discovered,first_discovered_sys_id,due_in,due_in_sys_id,can_partitionvlans,can_partitionvlans_sys_id,gl_account,gl_account_sys_id,invoice_number,invoice_number_sys_id,sys_created_by,sys_created_by_sys_id,ram,ram_sys_id,warranty_expiration,warranty_expiration_sys_id,cpu_speed,cpu_speed_sys_id,owned_by,owned_by_sys_id,checked_out,checked_out_sys_id,firmware_manufacturer,firmware_manufacturer_sys_id,disk_space,disk_space_sys_id,sys_domain_path,sys_domain_path_sys_id,business_unit,business_unit_sys_id,discovery_proto_id,discovery_proto_id_sys_id,maintenance_schedule,maintenance_schedule_sys_id,cost_center,cost_center_sys_id,attested_by,attested_by_sys_id,dns_domain,dns_domain_sys_id,assigned,assigned_sys_id,life_cycle_stage,life_cycle_stage_sys_id,purchase_date,purchase_date_sys_id,short_description,short_description_sys_id,managed_by,managed_by_sys_id,allotted_electric_power,allotted_electric_power_sys_id,range,range_sys_id,firmware_version,firmware_version_sys_id,can_print,can_print_sys_id,last_discovered,last_discovered_sys_id,ports,ports_sys_id,sys_class_name,sys_class_name_sys_id,cpu_count,cpu_count_sys_id,manufacturer,manufacturer_sys_id,life_cycle_stage_status,life_cycle_stage_status_sys_id,vendor,vendor_sys_id,can_route,can_route_sys_id,model_number,model_number_sys_id,assigned_to,assigned_to_sys_id,start_date,start_date_sys_id,bandwidth,bandwidth_sys_id,serial_number,serial_number_sys_id,support_group,support_group_sys_id,correlation_id,correlation_id_sys_id,unverified,unverified_sys_id,attributes,attributes_sys_id,asset,asset_sys_id,skip_sync,skip_sync_sys_id,product_instance_id,product_instance_id_sys_id,most_frequent_user,most_frequent_user_sys_id,device_type,device_type_sys_id,attestation_score,attestation_score_sys_id,managed_domain,managed_domain_sys_id,sys_updated_by,sys_updated_by_sys_id,sys_created_on,sys_created_on_sys_id,cpu_type,cpu_type_sys_id,sys_domain,sys_domain_sys_id,install_date,install_date_sys_id,asset_tag,asset_tag_sys_id,hardware_substatus,hardware_substatus_sys_id,fqdn,fqdn_sys_id,change_control,change_control_sys_id,internet_facing,internet_facing_sys_id,physical_interface_count,physical_interface_count_sys_id,delivery_date,delivery_date_sys_id,hardware_status,hardware_status_sys_id,channels,channels_sys_id,install_status,install_status_sys_id,supported_by,supported_by_sys_id,name,name_sys_id,subcategory,subcategory_sys_id,default_gateway,default_gateway_sys_id,virtual,virtual_sys_id,assignment_group,assignment_group_sys_id,managed_by_group,managed_by_group_sys_id,can_hub,can_hub_sys_id,sys_id,sys_id_sys_id,po_number,po_number_sys_id,checked_in,checked_in_sys_id,sys_class_path,sys_class_path_sys_id,mac_address,mac_address_sys_id,company,company_sys_id,justification,justification_sys_id,department,department_sys_id,snmp_sys_location,snmp_sys_location_sys_id,comments,comments_sys_id,cost,cost_sys_id,attestation_status,attestation_status_sys_id,cmdb_ot_entity,cmdb_ot_entity_sys_id,sys_mod_count,sys_mod_count_sys_id,monitor,monitor_sys_id,ip_address,ip_address_sys_id,model_id,model_id_sys_id,duplicate_of,duplicate_of_sys_id,sys_tags,sys_tags_sys_id,cost_cc,cost_cc_sys_id,discovery_proto_type,discovery_proto_type_sys_id,order_date,order_date_sys_id,schedule,schedule_sys_id,environment,environment_sys_id,due,due_sys_id,attested,attested_sys_id,location,location_sys_id,category,category_sys_id,fault_count,fault_count_sys_id,lease_id,lease_id_sys_id
,,false,false,Operational,1,,,2025-07-03 08:38:30,2025-07-03 15:38:30,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,Fortinet,8524ad8ac308e258a01d5673e401317a,,,,,false,false,,,,,,,,,FGT60D4Q16068149,FGT60D4Q16068149,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:38:30,2025-07-03 15:38:30,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,,,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Waxahachie,Altus - Waxahachie,,,,,false,false,,,,,false,false,4114cac1c3226a10a01d5673e401316d,4114cac1c3226a10a01d5673e401316d,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,172.34.64.1,172.34.64.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-10-10 15:04:43,2025-10-10 22:04:43,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,Sonicwall,b384ae01c3e6ea105bcb9df01501313f,,,,,false,false,,,,,,,,,18B169B73D68,18B169B73D68,,,,,false,false,,,,,false,false,,,,,,,,,false,false,hriaz@mobizinc.com,hriaz@mobizinc.com,2025-07-03 08:50:00,2025-07-03 15:50:00,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Beaumont,Altus - Beaumont,,,,,false,false,,,,,false,false,42b64a89c3226a10a01d5673e40131e9,42b64a89c3226a10a01d5673e40131e9,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,1,1,false,false,10.246.10.1,10.246.10.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:37:03,2025-07-03 15:37:03,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,Fortinet,8524ad8ac308e258a01d5673e401317a,,,,,false,false,,,,,,,,,FG100D3G13817895,FG100D3G13817895,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:37:03,2025-07-03 15:37:03,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,,,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Lumberton,Altus - Lumberton,,,,,false,false,,,,,false,false,43b34205c3226a10a01d5673e40131db,43b34205c3226a10a01d5673e40131db,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,172.31.61.1,172.31.61.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-07 15:53:31,2025-07-07 22:53:31,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,Fortinet,8524ad8ac308e258a01d5673e401317a,,,,,false,false,,,,,,,,,FG100FTK19024575,FG100FTK19024575,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:36:22,2025-07-03 15:36:22,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,,,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus-Corporate_FG100FTK19024575,Altus-Corporate_FG100FTK19024575,,,,,false,false,,,,,false,false,56328281c3226a10a01d5673e4013120,56328281c3226a10a01d5673e4013120,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,1,1,false,false,10.15.35.1,10.15.35.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:48:50,2025-07-03 15:48:50,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,,,,,,,false,false,,,,,,,,,2CB8ED37E990,2CB8ED37E990,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:48:50,2025-07-03 15:48:50,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Amarillo S,Altus - Amarillo S,,,,,false,false,,,,,false,false,69764a89c3226a10a01d5673e40131e2,69764a89c3226a10a01d5673e40131e2,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,10.6.0.1,10.6.0.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:53:17,2025-07-03 15:53:17,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,,,,,,,false,false,,,,,,,,,18B169B74554,18B169B74554,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:53:17,2025-07-03 15:53:17,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Orange,Altus - Orange,,,,,false,false,,,,,false,false,6d77024dc3226a10a01d5673e4013155,6d77024dc3226a10a01d5673e4013155,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,10.246.11.1,10.246.11.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:48:12,2025-07-03 15:48:12,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,,,,,,,false,false,,,,,,,,,2CB8ED9DFF00,2CB8ED9DFF00,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:48:12,2025-07-03 15:48:12,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Amarillo N,Altus - Amarillo N,,,,,false,false,,,,,false,false,7946c249c3226a10a01d5673e401316c,7946c249c3226a10a01d5673e401316c,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,10.12.1.1,10.12.1.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:51:08,2025-07-03 15:51:08,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,,,,,,,false,false,,,,,,,,,18B169884F04,18B169884F04,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:51:08,2025-07-03 15:51:08,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - FortWorth (Eastchase),Altus - FortWorth (Eastchase),,,,,false,false,,,,,false,false,7bf68e0dc3226a10a01d5673e401319b,7bf68e0dc3226a10a01d5673e401319b,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,10.102.1.1,10.102.1.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:49:23,2025-07-03 15:49:23,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,,,,,,,false,false,,,,,,,,,18B169B73984,18B169B73984,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:49:23,2025-07-03 15:49:23,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,Sonicwall,Sonicwall,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Amarillo W,Altus - Amarillo W,,,,,false,false,,,,,false,false,8296cec9c3226a10a01d5673e4013146,8296cec9c3226a10a01d5673e4013146,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,10.247.22.1,10.247.22.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
,,false,false,Operational,1,,,2025-07-03 08:37:52,2025-07-03 15:37:52,,,,,,,,,false,false,,,,,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,,,,,,,,,,,,,,,!!!/!$9/,!!!/!$9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,,IP Firewall,cmdb_ci_ip_firewall,1,1,Fortinet,8524ad8ac308e258a01d5673e401317a,,,,,false,false,,,,,,,,,FG100D3G15822821,FG100D3G15822821,,,,,false,false,,,,,false,false,,,,,,,,,false,false,sjahanzaib@mobizinc.com,sjahanzaib@mobizinc.com,2025-07-03 08:37:52,2025-07-03 15:37:52,,,TOP/Altus Community Healthcare,87eec28c931c9a1049d9764efaba10f4,,,,,,,,,,,true,true,,,,,Installed,installed,,,Installed,1,,,Altus - Lake Jackson,Altus - Lake Jackson,,,,,false,false,,,,,false,false,8de30205c3226a10a01d5673e401315a,8de30205c3226a10a01d5673e401315a,,,,,/!!/!2/!!/!*,/!!/!2/!!/!*,,,Altus Community Healthcare,c3eec28c931c9a1049d9764efaba10f3,,,,,,,,,,,Not Yet Reviewed,Not Yet Reviewed,,,0,0,false,false,172.32.62.1,172.32.62.1,,,,,,,USD,USD,,,,,,,,,,,false,false,,,,,0,0,,
